KEY_ID,KEY_NAME,KEY_DESCRIPTION,KEY_DIFFICULTY,KEY_CATEGORY,KEY_LENGTH,KEY_GOAL1,KEY_GOAL2,KEY_GOAL3,KEY_IMAGE
,בטן עליונה ,בשכיבה על הגב. רגליים מכופפות. ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 20 חזרות. 3 סטים.,קל מאוד,2,5,1,1,0,/drawable/pic1
,בטן עליונה ,בשכיבה על הגב. רגליים מכופפות. ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 25 חזרות. 3 סטים.,קל,2,5,1,1,0,/drawable/pic1
,בטן עליונה ,בשכיבה על הגב. רגליים מכופפות. ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 40 חזרות. 3 סטים.,בינוני,2,5,1,1,0,/drawable/pic1
,בטן עליונה ,בשכיבה על הגב. רגליים מכופפות. ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 30 חזרות. 4 סטים.,קשה,2,10,1,1,0,/drawable/pic1
,בטן עליונה ,בשכיבה על הגב. רגליים מכופפות. ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 50 חזרות. 4 סטים.,קשה מאוד,2,10,1,1,0,/drawable/pic1
,בטן תחתונה ,בשכיבה על הגב. רגליים ישרות באוויר. ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.15 חזרות. 2 סטים.,קל מאוד,2,5,1,1,0,/drawable/pic2
,בטן תחתונה ,בשכיבה על הגב. רגליים ישרות באוויר. ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.15 חזרות. 3 סטים.,קל,2,5,1,1,0,/drawable/pic2
,בטן תחתונה ,בשכיבה על הגב. רגליים ישרות באוויר. ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.25 חזרות. 3 סטים.,בינוני,2,5,1,1,0,/drawable/pic2
,בטן תחתונה ,בשכיבה על הגב. רגליים ישרות באוויר. ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.30 חזרות. 4 סטים.,קשה,2,10,1,1,0,/drawable/pic2
,בטן תחתונה ,בשכיבה על הגב. רגליים ישרות באוויר. ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.50 חזרות. 4 סטים.,קשה מאוד,2,10,1,1,0,/drawable/pic2
